,dim,density,baseRate,mineCtRate
0,10,0.1,97.3,97.3
1,10,0.15,96.09999999999998,96.06666666666665
2,10,0.2,94.0,94.3
3,10,0.25,91.12,91.36
4,10,0.3,86.33333333333334,87.13333333333334
5,20,0.1,99.3875,99.3875
6,20,0.15,98.96666666666665,98.975
7,20,0.2,98.125,98.125
8,20,0.25,95.34,95.42
9,20,0.3,91.38333333333334,91.51666666666667
10,30,0.1,99.73888888888892,99.73888888888892
11,30,0.15,99.49999999999993,99.51111111111103
12,30,0.2,98.92222222222216,98.96666666666661
13,30,0.25,97.17333333333336,97.19111111111116
14,30,0.3,93.21481481481482,93.24444444444444
