,RuleOne,RuleTwo,diff
0,4193,3825,368
1,1535,297,1238
2,1617,1509,108
3,4949,4045,904
4,1865,3145,-1280
5,583,1173,-590
6,647,121,526
7,1549,6069,-4520
8,3891,5247,-1356
9,2623,545,2078
10,18117,21469,-3352
11,2071,421,1650
12,797,1243,-446
13,15009,13385,1624
14,20457,1547,18910
15,1541,4531,-2990
16,1519,1481,38
17,343,1089,-746
18,4555,2437,2118
19,883,1277,-394
20,4521,8497,-3976
21,4391,9971,-5580
22,2817,1865,952
23,1739,1547,192
24,699,1207,-508
25,8101,2823,5278
26,8565,3285,5280
27,681,131,550
28,11499,20193,-8694
29,3169,1987,1182
30,1985,6185,-4200
31,7881,4105,3776
32,29833,14631,15202
33,13083,21729,-8646
34,1223,253,970
35,4001,801,3200
36,4917,959,3958
37,4965,977,3988
38,8667,4885,3782
39,3795,2185,1610
40,1023,209,814
41,1767,349,1418
42,15543,64863,-49320
43,4737,3997,740
44,13197,3581,9616
45,7883,4107,3776
46,1067,1333,-266
47,1711,1539,172
48,22103,13641,8462
49,3249,2001,1248
50,861,1267,-406
51,7239,13345,-6106
52,905,1283,-378
53,9369,16433,-7064
54,4301,2349,1952
55,3973,797,3176
56,24319,3491,20828
57,34355,3939,30416
58,3573,733,2840
59,13559,3943,9616
60,3973,799,3174
61,8027,2737,5290
62,4789,7081,-2292
63,2565,12557,-9992
64,3627,5145,-1518
65,1461,1461,0
66,12021,10915,1106
67,20551,1637,18914
68,1073,4363,-3290
69,989,1315,-326
70,23605,7379,16226
71,2603,1785,818
72,3919,6797,-2878
73,1027,209,818
74,921,183,738
75,4457,2399,2058
76,2137,435,1702
77,257,2633,-2376
78,8431,4657,3774
79,4775,5499,-724
80,33335,2913,30422
81,4541,7005,-2464
82,4865,2525,2340
83,3717,6737,-3020
84,5711,23961,-18250
85,5727,13751,-8024
86,2807,1863,944
87,12287,7247,5040
88,6261,16735,-10474
89,311,1081,-770
90,5437,14389,-8952
91,2113,1645,468
92,3551,729,2822
93,999,205,794
94,23577,2785,20792
95,20073,1161,18912
96,4873,943,3930
97,1459,1457,2
98,41605,23481,18124
99,2707,1823,884
100,6999,13117,-6118
101,2113,1645,468
102,599,113,486
103,6895,10145,-3250
104,207,43,164
105,537,1153,-616
106,3301,695,2606
107,13453,3839,9614
108,19603,11723,7880
109,1797,353,1444
110,1963,401,1562
111,163,33,130
112,2965,1923,1042
113,3693,6727,-3034
114,8473,9271,-798
115,365,2645,-2280
116,4239,841,3398
117,13407,9879,3528
118,1987,1611,376
119,1357,6003,-4646
120,11739,20345,-8606
121,783,1235,-452
122,4839,939,3900
123,2459,1741,718
124,2497,1755,742
125,4689,901,3788
126,1771,1557,214
127,3361,11673,-8312
128,7841,27547,-19706
129,223,1063,-840
130,1633,10479,-8846
131,3071,1961,1110
132,10859,11659,-800
133,3631,2143,1488
134,473,1123,-650
135,3931,791,3140
136,2921,595,2326
137,373,7223,-6850
138,6673,14681,-8008
139,2009,3169,-1160
140,791,157,634
141,4709,2479,2230
142,4803,4013,790
143,3447,2071,1376
144,2609,3341,-732
145,6005,16473,-10468
146,6213,20131,-13918
147,8845,8141,704
148,2221,1675,546
149,8805,3521,5284
150,801,159,642
151,1231,9005,-7774
152,2843,1873,970
153,3159,657,2502
154,3661,3655,6
155,9285,4005,5280
156,3387,2049,1338
157,18239,3323,14916
158,18937,4041,14896
159,897,179,718
160,17101,11681,5420
161,589,109,480
162,4777,2505,2272
163,11195,36291,-25096
164,4035,3777,258
165,6455,20387,-13932
166,2931,1907,1024
167,9453,14061,-4608
168,457,1121,-664
169,1091,225,866
170,4965,973,3992
171,3267,687,2580
172,2207,3231,-1024
173,1379,2961,-1582
174,20347,1439,18908
175,13587,3971,9616
176,2455,1741,714
177,3029,1945,1084
178,2621,543,2078
179,4967,977,3990
180,4529,887,3642
181,163,33,130
182,3993,2247,1746
183,4451,2393,2058
184,1167,241,926
185,649,2753,-2104
186,1439,6029,-4590
187,4779,921,3858
188,8459,4693,3766
189,4225,40477,-36252
190,4623,17261,-12638
191,741,145,596
192,213,1059,-846
193,2001,25745,-23744
194,3489,3599,-110
195,4207,2319,1888
196,2513,517,1996
197,2145,439,1706
198,2515,1759,756
199,3265,687,2578
