,0
0,14377856.328005033
1,14165478.301220553
2,13879785.130033905
3,13916309.737521186
4,13865967.23492941
5,13764131.621705752
6,13740099.94927994
7,13715546.64535898
8,13658023.29224834
9,13657892.153933287
10,13644598.52222511
11,13691317.353695614
12,13563822.199530344
13,13633080.096983666
14,13688470.732131135
15,13528860.003278112
16,13713788.25774175
17,13564246.250523048
18,13609261.596065868
19,13629061.643150099
20,13603773.703770299
21,13560287.509142086
22,13626818.120914016
23,13497714.962819567
24,13664808.212122597
25,13465887.98129684
26,13680403.63022692
27,13387784.791734168
28,13653290.269275434
29,13320886.287024755
30,13556826.809125455
31,13155826.871717041
32,13539697.389284415
33,12937037.545203704
34,13516930.123676056
35,12687289.483375028
36,13461118.49505122
37,12497544.384387238
38,13465259.766355218
39,12338102.47351025
40,13337328.023932917
41,12198291.41536465
42,13297723.018538961
43,12102728.941488622
44,13040539.499042721
45,12078386.3073723
46,12725847.468305964
47,12111609.976854429
48,12403285.746830665
49,12057542.547869287
50,12286960.018030262
51,12118031.545717213
52,12061370.4236218
53,11801906.740064
54,12252744.906380221
55,12396251.397691792
56,11744202.85924141
57,11190367.514046261
58,11970948.543430112
59,12646777.740791338
60,12112256.577866774
61,10858598.573145738
62,11097580.60858936
63,10716683.140743462
64,10779732.911390435
65,10494093.368139924
66,10372062.87962976
67,10238270.479156608
68,11085335.723067332
69,11791911.253846478
70,11198592.56604598
71,10823867.308057519
72,10612652.47276285
73,10428589.662162594
74,10291864.465505186
75,10172679.09580224
76,10056669.379827721
77,10040815.208256042
78,9821696.748260636
79,9862202.15536865
80,9804748.09064371
81,9655562.321042344
82,9740825.868555872
83,9676740.56945787
84,9660874.730646454
85,9681803.803786093
86,9737070.128676224
87,9723808.910593618
88,9759878.768979331
89,9713488.465419032
90,9813570.31923691
91,9941947.425543241
92,10003493.26896391
93,9920838.954147497
94,10101289.161485214
95,10018371.303105434
96,9929643.63279737
97,9752087.409535332
98,9650194.348229675
99,9495239.694519252
100,9554833.236763135
101,9422615.730025336
102,9346081.641402323
103,9391710.05650364
104,9308130.837509474
105,9271689.796669923
106,9178170.76830957
107,9052630.006394649
108,9203002.511001145
109,9150527.353647565
110,9418654.98165217
111,9449701.290849227
112,9570647.695356093
113,9535114.408247184
114,9438301.006941028
115,9318127.01402931
116,9157802.116241151
117,9075144.893226447
118,8869267.35501208
119,8835862.6840721
120,9093304.9216478
121,9337334.89069665
122,9046842.788611852
123,8821848.1844102
124,8875525.417770792
125,9384904.507509688
126,10591985.161316695
127,10984183.92946934
128,10194338.68659179
129,9511328.610696055
130,9016757.830722943
131,8551980.059589779
132,8157007.763328843
133,8743292.394056408
134,9322315.082306124
135,8925632.383058246
136,8475385.226927124
137,8485345.171847528
138,9080610.305031536
139,10801836.2762563
140,10516571.889520084
141,9455613.382839864
142,8381366.489510221
143,7597399.045757665
144,7654374.622121739
145,8611132.615120469
146,8895027.29886174
147,8251877.66032472
148,8253587.491004672
149,9584332.765614383
150,10762510.675015578
151,9459641.204863027
152,8148205.804010588
153,7272190.578792948
154,7297824.7673351085
155,8705707.427224679
156,8582244.672362162
157,7993734.647332422
158,8740780.410571983
159,10463852.919927523
160,9338261.992957864
161,7993713.113931569
162,6815813.47775669
163,7392472.422596449
164,8721263.320002541
165,7932713.549406057
166,7854920.786098629
167,9708032.288422441
168,9412514.984006142
169,8092407.014453688
170,6575934.457689737
171,7344849.950209401
172,8504674.7725292
173,7506816.550611461
174,7897543.458664251
175,10001717.357716983
176,8203609.546329427
177,6534869.310366898
178,6240245.4923374085
179,8113651.027350241
180,7523164.889360412
181,7429916.517652366
182,9629485.055110306
183,8021302.273581734
184,6185512.709375501
185,6222720.87667537
186,7897216.261735309
187,7043832.52117188
188,7400423.971182617
189,8849089.189748216
190,6664049.405079616
191,5306382.804950657
192,7301927.006874114
193,6993881.143732626
194,6725463.578102052
195,8824499.962329002
196,6720989.018635932
197,5050793.642557675
198,6837505.8543029465
199,6991033.829514723
200,6369126.966552781
201,8429995.764948092
202,6553761.663473708
203,4682549.897164541
204,6737319.941597965
205,6632107.600551402
206,5995819.691321058
207,7760594.466096649
208,5541877.074928834
209,4810994.813494177
210,7062914.898996145
211,5762970.077720747
212,7074275.328421932
213,6321878.793458559
214,4079022.645521867
215,5976195.184300899
216,5979623.306772256
217,5398918.9011819335
218,6875490.36598308
219,4787275.891379445
220,4945345.522931861
221,6386649.216565771
222,5078808.52069731
223,6883533.29661284
224,5201295.532210399
225,3923030.8054603543
226,6154584.617515675
227,4586909.559387523
228,6667483.834966407
229,5211323.075485155
230,3623022.2749732696
231,5588990.994383967
232,4090263.641279427
233,6347222.0325520625
234,4691341.640007926
235,3628079.1236918215
236,5242453.374429833
237,3710023.720228064
238,6122869.2928942945
239,4202116.72142594
240,3983584.693186632
241,4864480.018834647
242,3710267.807259498
243,5442812.652318133
244,3443105.739228953
245,4051961.763145094
246,4194114.213770669
247,4057526.3706692075
248,4925741.53590948
249,2874480.552615002
250,4169384.7122395
251,3602690.524518318
252,4499800.2214385355
253,4041244.7566751973
254,3111100.5316913156
255,4000773.1146790553
256,3322287.619164862
257,4351555.1783471815
258,2817707.2882994376
259,3491709.376596196
260,3448197.6479342305
261,3897344.348708091
262,3892066.615479201
263,2709331.63541052
264,3401570.5054469532
265,3066727.918420774
266,3840011.9178251666
267,2623226.9751482937
268,3319032.959192189
269,3129957.041104443
270,3708581.349192753
271,3390186.114337548
272,2697905.9126767777
273,2952568.9129800526
274,3007211.289360879
275,3365406.366275244
276,2206414.354582262
277,3049904.8949453873
278,2690347.394322091
279,3399413.0769302784
280,2422659.619980274
281,2817900.3943144176
282,2665001.0771690956
283,3430427.385392792
284,2847096.0199970515
285,2604817.7709606797
286,2428940.3057457134
287,3098130.9821461923
288,2719227.3732079077
289,2460057.89384205
290,2375321.803299075
291,2994911.9862352773
292,2681748.3146918323
293,2334450.4621043312
294,2231730.1772831664
295,2933730.84206635
296,2537283.2998578255
297,2250171.4194900445
298,2057200.3491410606
299,2805686.6247731317
